[28775, 1]
[49192, 0]
[3172, 1]
[1556, 0]
[168, 1]
[1131, 0]
[191, 1]
[269, 0]
[318, 1]
[101, 0]
[197, 1]
[227, 0]
[300, 1]
[239, 0]
[312, 1]
[308, 0]
[239, 1]
[268, 0]
[336, 1]
[209, 0]
[260, 1]
[245, 0]
[242, 1]
[174, 0]
[320, 1]
[192, 0]
[253, 1]
[186, 0]
[183, 1]
[1119, 0]
[289, 1]
[291, 0]
[244, 1]
[224, 0]
[221, 1]
[186, 0]
[249, 1]
[263, 0]
[282, 1]
[119, 0]
[255, 1]
[267, 0]
[284, 1]
[268, 0]
[312, 1]
[251, 0]
[252, 1]
[223, 0]
[228, 1]
[128, 0]
[285, 1]
[250, 0]
[242, 1]
[159, 0]
[348, 1]
[214, 0]
[318, 1]
[294, 0]
[327, 1]
[299, 0]
[299, 1]
[300, 0]
[370, 1]
[360, 0]
[355, 1]
[998, 0]
[72, 1]
[300, 0]
[233, 1]
[1118, 0]
[175, 1]
[1121, 0]
[269, 1]
[1129, 0]
[150, 1]
[1144, 0]
[168, 1]
[1122, 0]
[242, 1]
[1121, 0]
[150, 1]
[283, 0]
[255, 1]
[1133, 0]
[224, 1]
[1150, 0]
[229, 1]
[1150, 0]
[144, 1]
[1200, 0]
[118, 1]
[1173, 0]
[237, 1]
[1178, 0]
[154, 1]
[1141, 0]
[134, 1]
[1153, 0]
[208, 1]
[1175, 0]
[215, 1]
[275, 0]
[199, 1]
[211, 0]
[211, 1]
[274, 0]
[207, 1]
[301, 0]
[176, 1]
[251, 0]
[233, 1]
[321, 0]
[298, 1]
[324, 0]
[205, 1]
[223, 0]
[190, 1]
[203, 0]
[247, 1]
[303, 0]
[110, 1]
[1096, 0]
[244, 1]
[1157, 0]
[173, 1]
[319, 0]
[315, 1]
[94, 0]
[233, 1]
[1148, 0]
[194, 1]
[1170, 0]
[189, 1]
[1130, 0]
[144, 1]
[1145, 0]
[140, 1]
[283, 0]
[285, 1]
[283, 0]
[1245, 0]
[115, 1]
[1114, 0]
[143, 1]
[307, 0]
[220, 1]
[210, 0]
[235, 1]
[321, 0]
[160, 1]
[1118, 0]
[241, 1]
[289, 0]
[204, 1]
[166, 0]
[284, 1]
[1091, 0]
[159, 1]
[310, 0]
[299, 1]
[294, 0]
[188, 1]
[1117, 0]
[162, 1]
[1094, 0]
[145, 1]
[296, 0]
[208, 1]
[1150, 0]
[219, 1]
[1122, 0]
[160, 1]
[305, 0]
[113, 1]
[1157, 0]
[138, 1]
[1160, 0]
[196, 1]
[318, 0]
[193, 1]
[1185, 0]
[70, 1]
[1073, 0]
[174, 1]
[317, 0]
[241, 1]
[287, 0]
[149, 1]
[1139, 0]
[127, 1]
[263, 0]
[235, 1]
[221, 0]
[274, 1]
[239, 0]
[238, 1]
[267, 0]
[222, 1]
[269, 0]
[239, 1]
[947, 0]
[177, 1]
[1072, 0]
[155, 1]
[315, 0]
[260, 1]
[1101, 0]
[467, 0]
[177, 1]
[1081, 0]
[54, 1]
[200, 0]
[264, 1]
[305, 0]
[254, 1]
[1192, 0]
[316, 1]
[1196, 0]
[180, 1]
[1152, 0]
[53, 1]
[317, 0]
[229, 1]
[1030, 0]
[209, 1]
[327, 0]
[254, 1]
[1167, 0]
[132, 1]
[1067, 0]
[128, 1]
[307, 0]
[294, 1]
[256, 0]
[289, 1]
[317, 0]
[284, 1]
[1178, 0]
[216, 1]
[289, 0]
[214, 1]
[1042, 0]
[161, 1]
[175, 0]
[189, 1]
[307, 0]
[243, 1]
[318, 0]
[308, 1]
[198, 0]
[136, 1]
[287, 0]
[169, 1]
[255, 0]
[273, 1]
[192, 0]
[205, 1]
[316, 0]
[227, 1]
[1153, 0]
[207, 1]
[1108, 0]
[140, 1]
[1150, 0]
[202, 1]
[1161, 0]
[220, 1]
[1136, 0]
[183, 1]
[1157, 0]
[158, 1]
[1146, 0]
[235, 1]
[1162, 0]
[181, 1]
[266, 0]
[216, 1]
[285, 0]
[152, 1]
[273, 1]
[243, 0]
[205, 1]
[284, 0]
[196, 1]
[267, 0]
[95, 1]
[287, 0]
[209, 1]
[272, 0]
[259, 1]
[1145, 0]
[160, 1]
[1147, 0]
[143, 1]
[1174, 0]
[95, 1]
[1133, 0]
[119, 1]
[1163, 0]
[122, 1]
[1149, 0]
[84, 1]
[1139, 0]
[251, 1]
[1205, 0]
[294, 1]
[235, 0]
[143, 1]
[325, 0]
[220, 1]
[307, 0]
[237, 1]
[402, 0]
[309, 1]
[419, 0]
[294, 1]
[190, 0]
[220, 1]
[349, 0]
[295, 1]
[427, 0]
[314, 1]
[1249, 0]
[138, 1]
[1174, 0]
[98, 1]
[1183, 0]
[124, 1]
[1182, 0]
[185, 1]
[1170, 0]
[178, 1]
[1175, 0]
[133, 1]
[1213, 0]
[83, 1]
[1195, 0]
[136, 1]
[330, 0]
[214, 1]
[283, 0]
[98, 1]
[334, 0]
[281, 1]
[277, 0]
[112, 1]
[396, 0]
[82, 1]
[319, 0]
[194, 1]
[302, 0]
[177, 1]
[297, 0]
[114, 1]
[1174, 0]
[111, 1]
[1198, 0]
[169, 1]
[1118, 0]
[82, 1]
[1185, 0]
[57, 1]
[1178, 0]
[158, 1]
[1203, 0]
[114, 1]
[1203, 0]
[75, 1]
[1199, 0]
