--- Results (627 samples) ---
[28770, 1]
[49320, 0]
[3323, 1]
[1614, 0]
[375, 1]
[1406, 0]
[197, 1]
[364, 0]
[385, 1]
[392, 0]
[394, 1]
[391, 0]
[406, 1]
[467, 0]
[304, 1]
[382, 0]
[400, 1]
[367, 0]
[421, 1]
[371, 0]
[415, 1]
[363, 0]
[406, 1]
[376, 0]
[415, 1]
[350, 0]
[408, 1]
[375, 0]
[415, 1]
[1227, 0]
[394, 1]
[448, 0]
[273, 1]
[377, 0]
[407, 1]
[391, 0]
[395, 1]
[390, 0]
[405, 1]
[390, 0]
[412, 1]
[372, 0]
[404, 1]
[394, 0]
[535, 1]
[242, 0]
[413, 1]
[384, 0]
[392, 1]
[392, 0]
[409, 1]
[390, 0]
[395, 1]
[376, 0]
[405, 1]
[400, 0]
[394, 1]
[389, 0]
[403, 1]
[378, 0]
[413, 1]
[375, 0]
[414, 1]
[381, 0]
[413, 1]
[1205, 0]
[402, 1]
[381, 0]
[393, 1]
[1227, 0]
[379, 1]
[1226, 0]
[405, 1]
[1221, 0]
[401, 1]
[1223, 0]
[404, 1]
[1214, 0]
[406, 1]
[1229, 0]
[401, 1]
[385, 0]
[415, 1]
[1233, 0]
[410, 1]
[1215, 0]
[416, 1]
[1220, 0]
[419, 1]
[1197, 0]
[405, 1]
[1236, 0]
[402, 1]
[1206, 0]
[404, 1]
[1221, 0]
[400, 1]
[1226, 0]
[416, 1]
[1225, 0]
[407, 1]
[385, 0]
[402, 1]
[402, 0]
[407, 1]
[416, 0]
[370, 1]
[401, 0]
[402, 1]
[418, 0]
[368, 1]
[414, 0]
[385, 1]
[421, 0]
[380, 1]
[418, 0]
[386, 1]
[403, 0]
[395, 1]
[408, 0]
[388, 1]
[1238, 0]
[386, 1]
[1260, 0]
[371, 1]
[416, 0]
[383, 1]
[416, 0]
[379, 1]
[1252, 0]
[385, 1]
[1259, 0]
[387, 1]
[1232, 0]
[390, 1]
[1241, 0]
[383, 1]
[420, 0]
[385, 1]
[390, 0]
[386, 1]
[1252, 0]
[388, 1]
[1234, 0]
[387, 1]
[424, 0]
[371, 1]
[420, 0]
[389, 1]
[418, 0]
[371, 1]
[1257, 0]
[393, 1]
[408, 0]
[375, 1]
[417, 0]
[374, 1]
[1249, 0]
[389, 1]
[418, 0]
[374, 1]
[414, 0]
[386, 1]
[1254, 0]
[386, 1]
[1246, 0]
[380, 1]
[416, 0]
[389, 1]
[1243, 0]
[405, 1]
[1233, 0]
[370, 1]
[417, 0]
[386, 1]
[1258, 0]
[371, 1]
[1264, 0]
[369, 1]
[433, 0]
[369, 1]
[1253, 0]
[384, 1]
[1252, 0]
[387, 1]
[416, 0]
[371, 1]
[401, 0]
[387, 1]
[1251, 0]
[382, 1]
[401, 0]
[386, 1]
[415, 0]
[383, 1]
[426, 0]
[384, 1]
[400, 0]
[384, 1]
[426, 0]
[372, 1]
[1257, 0]
[368, 1]
[1258, 0]
[385, 1]
[415, 0]
[385, 1]
[1253, 0]
[376, 1]
[1260, 0]
[390, 1]
[1247, 0]
[386, 1]
[399, 0]
[384, 1]
[415, 0]
[382, 1]
[1235, 0]
[387, 1]
[1241, 0]
[399, 1]
[1249, 0]
[358, 1]
[418, 0]
[388, 1]
[1241, 0]
[395, 1]
[403, 0]
[387, 1]
[1257, 0]
[371, 1]
[1250, 0]
[385, 1]
[416, 0]
[370, 1]
[431, 0]
[375, 1]
[420, 0]
[373, 1]
[1257, 0]
[385, 1]
[423, 0]
[378, 1]
[1244, 0]
[388, 1]
[407, 0]
[378, 1]
[419, 0]
[391, 1]
[420, 0]
[367, 1]
[417, 0]
[372, 1]
[431, 0]
[369, 1]
[415, 0]
[384, 1]
[430, 0]
[368, 1]
[427, 0]
[389, 1]
[1238, 0]
[384, 1]
[1249, 0]
[383, 1]
[1252, 0]
[355, 1]
[1263, 0]
[388, 1]
[1240, 0]
[385, 1]
[1254, 0]
[381, 1]
[1245, 0]
[376, 1]
[1261, 0]
[385, 1]
[414, 0]
[384, 1]
[417, 0]
[371, 1]
[439, 0]
[359, 1]
[424, 0]
[375, 1]
[419, 0]
[384, 1]
[423, 0]
[371, 1]
[414, 0]
[385, 1]
[423, 0]
[369, 1]
[1261, 0]
[369, 1]
[1266, 0]
[372, 1]
[1260, 0]
[371, 1]
[1259, 0]
[355, 1]
[1275, 0]
[386, 1]
[1262, 0]
[370, 1]
[1264, 0]
[351, 1]
[1280, 0]
[355, 1]
[432, 0]
[352, 1]
[448, 0]
[357, 1]
[433, 0]
[355, 1]
[448, 0]
[355, 1]
[438, 0]
[361, 1]
[433, 0]
[357, 1]
[449, 0]
[354, 1]
[443, 0]
[359, 1]
[1278, 0]
[342, 1]
[1275, 0]
[360, 1]
[1276, 0]
[341, 1]
[1343, 0]
[282, 1]
[1286, 0]
[359, 1]
[1273, 0]
[355, 1]
[1279, 0]
[356, 1]
[1282, 0]
[354, 1]
[435, 0]
[355, 1]
[452, 0]
[329, 1]
[440, 0]
[358, 1]
[433, 0]
[355, 1]
[445, 0]
[361, 1]
[445, 0]
[355, 1]
[431, 0]
[350, 1]
[473, 0]
[326, 1]
[1289, 0]
[355, 1]
[1273, 0]
[356, 1]
[1307, 0]
[326, 1]
[1281, 0]
[356, 1]
[1274, 0]
[354, 1]
[1306, 0]
[339, 1]
[1283, 0]
[343, 1]
[1312, 0]
[325, 1]
[465, 0]
[326, 1]
[477, 0]
[325, 1]
[474, 0]
[326, 1]
[462, 0]
[340, 1]
[467, 0]
[340, 1]
[445, 0]
[340, 1]
[460, 0]
[341, 1]
[462, 0]
[324, 1]
[1302, 0]
[344, 1]
[1308, 0]
[319, 1]
[1301, 0]
[305, 1]
[1305, 0]
[326, 1]
[1317, 0]
[324, 1]
[1312, 0]
[321, 1]
[1293, 0]
[324, 1]
[1319, 0]
[324, 1]
[1305, 0]
[324, 1]
[1310, 0]
[327, 1]
[462, 0]
[343, 1]
[468, 0]
[328, 1]
[463, 0]
[332, 1]
[1303, 0]
[327, 1]
[462, 0]
[338, 1]
[475, 0]
[319, 1]
[477, 0]
[297, 1]
[461, 0]
[337, 1]
[1296, 0]
[339, 1]
[1307, 0]
[900, 0]
[329, 1]
[461, 0]
[324, 1]
[1307, 0]
[343, 1]
[1306, 0]
[331, 1]
[447, 0]
[339, 1]
[467, 0]
[328, 1]
[464, 0]
[327, 1]
[476, 0]
[296, 1]
[1315, 0]
[327, 1]
[1300, 0]
[326, 1]
[1300, 0]
[326, 1]
[1310, 0]
[328, 1]
[1308, 0]
[325, 1]
[1301, 0]
[321, 1]
[1307, 0]
[326, 1]
[1282, 0]
[324, 1]
[476, 0]
[324, 1]
[449, 0]
[325, 1]
[474, 0]
[336, 1]
[472, 0]
[326, 1]
[461, 0]
[341, 1]
[461, 0]
