--- Results (850 samples) ---
[28674, 1]
[49325, 0]
[3429, 1]
[1552, 0]
[423, 1]
[1203, 0]
[424, 1]
[346, 0]
[442, 1]
[352, 0]
[412, 1]
[367, 0]
[463, 1]
[354, 0]
[443, 1]
[351, 0]
[450, 1]
[353, 0]
[449, 1]
[356, 0]
[412, 1]
[382, 0]
[408, 1]
[382, 0]
[444, 1]
[324, 0]
[444, 1]
[365, 0]
[427, 1]
[1212, 0]
[399, 1]
[381, 0]
[412, 1]
[383, 0]
[411, 1]
[399, 0]
[416, 1]
[385, 0]
[396, 1]
[391, 0]
[417, 1]
[383, 0]
[413, 1]
[384, 0]
[407, 1]
[397, 0]
[398, 1]
[399, 0]
[411, 1]
[367, 0]
[400, 1]
[399, 0]
[400, 1]
[379, 0]
[414, 1]
[384, 0]
[412, 1]
[388, 0]
[412, 1]
[384, 0]
[412, 1]
[386, 0]
[414, 1]
[382, 0]
[416, 1]
[1220, 0]
[407, 1]
[397, 0]
[415, 1]
[1211, 0]
[413, 1]
[1219, 0]
[412, 1]
[1233, 0]
[407, 1]
[1204, 0]
[415, 1]
[1212, 0]
[399, 1]
[1230, 0]
[412, 1]
[383, 0]
[414, 1]
[1220, 0]
[412, 1]
[1218, 0]
[411, 1]
[1214, 0]
[413, 1]
[1231, 0]
[402, 1]
[1229, 0]
[401, 1]
[1217, 0]
[420, 1]
[1217, 0]
[412, 1]
[1230, 0]
[399, 1]
[1248, 0]
[396, 1]
[382, 0]
[411, 1]
[383, 0]
[397, 1]
[396, 0]
[551, 1]
[251, 0]
[400, 1]
[383, 0]
[413, 1]
[384, 0]
[421, 1]
[383, 0]
[417, 1]
[386, 0]
[417, 1]
[386, 0]
[397, 1]
[398, 0]
[397, 1]
[1237, 0]
[399, 1]
[1226, 0]
[413, 1]
[384, 0]
[416, 1]
[389, 0]
[398, 1]
[1227, 0]
[417, 1]
[1218, 0]
[417, 1]
[1227, 0]
[398, 1]
[1231, 0]
[398, 1]
[398, 0]
[407, 1]
[368, 0]
[413, 1]
[1225, 0]
[413, 1]
[1220, 0]
[416, 1]
[382, 0]
[412, 1]
[385, 0]
[415, 1]
[379, 0]
[413, 1]
[1236, 0]
[399, 1]
[383, 0]
[414, 1]
[398, 0]
[399, 1]
[1235, 0]
[398, 1]
[395, 0]
[420, 1]
[384, 0]
[414, 1]
[1222, 0]
[398, 1]
[1233, 0]
[401, 1]
[399, 0]
[397, 1]
[1238, 0]
[398, 1]
[1239, 0]
[398, 1]
[399, 0]
[396, 1]
[1235, 0]
[399, 1]
[1247, 0]
[399, 1]
[387, 0]
[411, 1]
[1222, 0]
[413, 1]
[1222, 0]
[408, 1]
[401, 0]
[401, 1]
[368, 0]
[397, 1]
[1234, 0]
[413, 1]
[382, 0]
[412, 1]
[383, 0]
[415, 1]
[401, 0]
[406, 1]
[383, 0]
[409, 1]
[383, 0]
[414, 1]
[1219, 0]
[414, 1]
[1220, 0]
[408, 1]
[394, 0]
[400, 1]
[1216, 0]
[416, 1]
[1228, 0]
[397, 1]
[1235, 0]
[412, 1]
[383, 0]
[412, 1]
[392, 0]
[389, 1]
[1223, 0]
[400, 1]
[1221, 0]
[414, 1]
[1229, 0]
[401, 1]
[399, 0]
[398, 1]
[1228, 0]
[413, 1]
[397, 0]
[405, 1]
[1220, 0]
[412, 1]
[1230, 0]
[414, 1]
[383, 0]
[386, 1]
[384, 0]
[411, 1]
[383, 0]
[419, 1]
[1224, 0]
[497, 1]
[300, 0]
[400, 1]
[1243, 0]
[400, 1]
[384, 0]
[415, 1]
[385, 0]
[415, 1]
[389, 0]
[398, 1]
[397, 0]
[408, 1]
[388, 0]
[405, 1]
[396, 0]
[418, 1]
[384, 0]
[413, 1]
[383, 0]
[412, 1]
[1220, 0]
[414, 1]
[1216, 0]
[413, 1]
[1223, 0]
[385, 1]
[1229, 0]
[398, 1]
[1231, 0]
[398, 1]
[1234, 0]
[396, 1]
[1232, 0]
[415, 1]
[1238, 0]
[396, 1]
[385, 0]
[413, 1]
[386, 0]
[408, 1]
[384, 0]
[413, 1]
[382, 0]
[412, 1]
[398, 0]
[397, 1]
[397, 0]
[415, 1]
[383, 0]
[418, 1]
[387, 0]
[399, 1]
[1223, 0]
[414, 1]
[1218, 0]
[401, 1]
[1222, 0]
[415, 1]
[1222, 0]
[398, 1]
[1250, 0]
[445, 1]
[1178, 0]
[412, 1]
[1215, 0]
[461, 1]
[1182, 0]
[459, 1]
[338, 0]
[459, 1]
[337, 0]
[470, 1]
[339, 0]
[398, 1]
[399, 0]
[443, 1]
[345, 0]
[554, 1]
[251, 0]
[444, 1]
[353, 0]
[397, 1]
[400, 0]
[398, 1]
[1227, 0]
[461, 1]
[1183, 0]
[446, 1]
[1193, 0]
[429, 1]
[1174, 0]
[457, 1]
[1169, 0]
[458, 1]
[1178, 0]
[461, 1]
[1187, 0]
[444, 1]
[1192, 0]
[445, 1]
[337, 0]
[419, 1]
[399, 0]
[392, 1]
[399, 0]
[388, 1]
[417, 0]
[430, 1]
[336, 0]
[459, 1]
[368, 0]
[430, 1]
[359, 0]
[447, 1]
[339, 0]
[445, 1]
[1187, 0]
[444, 1]
[1202, 0]
[445, 1]
[1174, 0]
[458, 1]
[1181, 0]
[453, 1]
[1169, 0]
[465, 1]
[1169, 0]
[460, 1]
[1183, 0]
[460, 1]
[1181, 0]
[461, 1]
[337, 0]
[446, 1]
[342, 0]
[409, 1]
[385, 0]
[462, 1]
[336, 0]
[471, 1]
[327, 0]
[479, 1]
[336, 0]
[461, 1]
[331, 0]
[459, 1]
[336, 0]
[459, 1]
[1181, 0]
[397, 1]
[1245, 0]
[445, 1]
[1206, 0]
[400, 1]
[1177, 0]
[467, 1]
[1176, 0]
[459, 1]
[1178, 0]
[398, 1]
[1221, 0]
[461, 1]
[1181, 0]
[457, 1]
[1167, 0]
[414, 1]
[1250, 0]
[428, 1]
[340, 0]
[408, 1]
[386, 0]
[413, 1]
[396, 0]
[452, 1]
[1171, 0]
[467, 1]
[337, 0]
[457, 1]
[352, 0]
[412, 1]
[370, 0]
[416, 1]
[385, 0]
[458, 1]
[1177, 0]
[459, 1]
[1168, 0]
[1072, 0]
[460, 1]
[340, 0]
[458, 1]
[1206, 0]
[429, 1]
[1209, 0]
[420, 1]
[339, 0]
[460, 1]
[333, 0]
[459, 1]
[338, 0]
[480, 1]
[324, 0]
[436, 1]
[1173, 0]
[457, 1]
[1180, 0]
[458, 1]
[1172, 0]
[457, 1]
[1187, 0]
[458, 1]
[1170, 0]
[459, 1]
[1178, 0]
[465, 1]
[1175, 0]
[443, 1]
[1164, 0]
[457, 1]
[344, 0]
[453, 1]
[339, 0]
[459, 1]
[338, 0]
[462, 1]
[339, 0]
[459, 1]
[337, 0]
[458, 1]
[347, 0]
[467, 1]
[321, 0]
[450, 1]
[338, 0]
[459, 1]
[338, 0]
[456, 1]
[337, 0]
[466, 1]
[338, 0]
[461, 1]
[334, 0]
[462, 1]
