Listening for IR pulses with DMA precision...
Press Ctrl+C to stop and print results.

Stopping measurement...

--- Results (853 samples) ---
[29867, 1]
[49310, 0]
[3465, 1]
[1587, 0]
[458, 1]
[1220, 0]
[460, 1]
[378, 0]
[458, 1]
[357, 0]
[482, 1]
[379, 0]
[458, 1]
[379, 0]
[458, 1]
[380, 0]
[459, 1]
[379, 0]
[429, 1]
[412, 0]
[430, 1]
[405, 0]
[459, 1]
[378, 0]
[459, 1]
[378, 0]
[460, 1]
[378, 0]
[429, 1]
[1246, 0]
[460, 1]
[358, 0]
[480, 1]
[378, 0]
[458, 1]
[383, 0]
[458, 1]
[376, 0]
[460, 1]
[376, 0]
[460, 1]
[379, 0]
[486, 1]
[351, 0]
[460, 1]
[379, 0]
[429, 1]
[408, 0]
[460, 1]
[379, 0]
[459, 1]
[381, 0]
[437, 1]
[397, 0]
[459, 1]
[378, 0]
[430, 1]
[408, 0]
[459, 1]
[378, 0]
[460, 1]
[379, 0]
[457, 1]
[381, 0]
[458, 1]
[1217, 0]
[460, 1]
[358, 0]
[481, 1]
[1213, 0]
[460, 1]
[1216, 0]
[429, 1]
[1246, 0]
[457, 1]
[1197, 0]
[482, 1]
[1214, 0]
[457, 1]
[1218, 0]
[461, 1]
[377, 0]
[460, 1]
[1219, 0]
[459, 1]
[1213, 0]
[458, 1]
[1218, 0]
[460, 1]
[1214, 0]
[460, 1]
[1216, 0]
[460, 1]
[1215, 0]
[484, 1]
[1167, 0]
[510, 1]
[1190, 0]
[485, 1]
[1192, 0]
[460, 1]
[353, 0]
[481, 1]
[378, 0]
[459, 1]
[379, 0]
[459, 1]
[380, 0]
[459, 1]
[379, 0]
[459, 1]
[377, 0]
[459, 1]
[379, 0]
[460, 1]
[382, 0]
[458, 1]
[376, 0]
[457, 1]
[370, 0]
[438, 1]
[1246, 0]
[459, 1]
[1218, 0]
[458, 1]
[378, 0]
[459, 1]
[357, 0]
[482, 1]
[1216, 0]
[459, 1]
[1219, 0]
[459, 1]
[1214, 0]
[458, 1]
[1193, 0]
[510, 1]
[351, 0]
[458, 1]
[356, 0]
[482, 1]
[1218, 0]
[485, 1]
[1189, 0]
[459, 1]
[380, 0]
[458, 1]
[382, 0]
[460, 1]
[374, 0]
[459, 1]
[1216, 0]
[459, 1]
[379, 0]
[457, 1]
[381, 0]
[460, 1]
[1214, 0]
[461, 1]
[378, 0]
[458, 1]
[380, 0]
[458, 1]
[1220, 0]
[459, 1]
[1212, 0]
[487, 1]
[352, 0]
[458, 1]
[1195, 0]
[507, 1]
[1190, 0]
[488, 1]
[350, 0]
[459, 1]
[1216, 0]
[458, 1]
[1218, 0]
[486, 1]
[355, 0]
[460, 1]
[1189, 0]
[507, 1]
[1191, 0]
[459, 1]
[357, 0]
[482, 1]
[377, 0]
[489, 1]
[1186, 0]
[460, 1]
[355, 0]
[508, 1]
[352, 0]
[460, 1]
[381, 0]
[487, 1]
[348, 0]
[460, 1]
[377, 0]
[486, 1]
[1189, 0]
[459, 1]
[1216, 0]
[487, 1]
[351, 0]
[460, 1]
[1215, 0]
[487, 1]
[1189, 0]
[486, 1]
[1192, 0]
[487, 1]
[348, 0]
[461, 1]
[376, 0]
[486, 1]
[1189, 0]
[460, 1]
[1216, 0]
[485, 1]
[1169, 0]
[481, 1]
[378, 0]
[459, 1]
