--- Results (852 samples) ---
[28773, 1]
[49293, 0]
[3402, 1]
[1601, 0]
[395, 1]
[1224, 0]
[408, 1]
[366, 0]
[403, 1]
[372, 0]
[436, 1]
[391, 0]
[404, 1]
[389, 0]
[406, 1]
[388, 0]
[405, 1]
[372, 0]
[434, 1]
[386, 0]
[417, 1]
[373, 0]
[421, 1]
[381, 0]
[418, 1]
[359, 0]
[405, 1]
[357, 0]
[433, 1]
[1238, 0]
[405, 1]
[383, 0]
[403, 1]
[387, 0]
[416, 1]
[386, 0]
[400, 1]
[400, 0]
[402, 1]
[385, 0]
[421, 1]
[384, 0]
[403, 1]
[387, 0]
[416, 1]
[370, 0]
[439, 1]
[358, 0]
[434, 1]
[385, 0]
[422, 1]
[373, 0]
[416, 1]
[377, 0]
[406, 1]
[387, 0]
[417, 1]
[395, 0]
[410, 1]
[360, 0]
[432, 1]
[356, 0]
[433, 1]
[386, 0]
[417, 1]
[1231, 0]
[404, 1]
[388, 0]
[410, 1]
[1220, 0]
[400, 1]
[1234, 0]
[419, 1]
[1162, 0]
[444, 1]
[1219, 0]
[401, 1]
[1226, 0]
[402, 1]
[1222, 0]
[417, 1]
[386, 0]
[421, 1]
[1215, 0]
[421, 1]
[1213, 0]
[401, 1]
[1210, 0]
[407, 1]
[1230, 0]
[404, 1]
[1236, 0]
[402, 1]
[1207, 0]
[433, 1]
[1213, 0]
[420, 1]
[1218, 0]
[404, 1]
[1232, 0]
[417, 1]
[386, 0]
[401, 1]
[389, 0]
[416, 1]
[389, 0]
[407, 1]
[390, 0]
[404, 1]
[371, 0]
[435, 1]
[391, 0]
[403, 1]
[389, 0]
[397, 1]
[402, 0]
[403, 1]
[357, 0]
[433, 1]
[401, 0]
[403, 1]
[1230, 0]
[388, 1]
[1209, 0]
[418, 1]
[387, 0]
[417, 1]
[386, 0]
[405, 1]
[1227, 0]
[403, 1]
[1236, 0]
[404, 1]
[1204, 0]
[433, 1]
[1223, 0]
[403, 1]
[374, 0]
[402, 1]
[388, 0]
[411, 1]
[1235, 0]
[401, 1]
[1220, 0]
[419, 1]
[387, 0]
[415, 1]
[387, 0]
[403, 1]
[389, 0]
[402, 1]
[1236, 0]
[402, 1]
[390, 0]
[402, 1]
[407, 0]
[396, 1]
[1218, 0]
[416, 1]
[391, 0]
[409, 1]
[370, 0]
[425, 1]
[1219, 0]
[418, 1]
[1205, 0]
[426, 1]
[387, 0]
[402, 1]
[1232, 0]
[416, 1]
[1219, 0]
[414, 1]
[371, 0]
[417, 1]
[1223, 0]
[418, 1]
[1243, 0]
[390, 1]
[388, 0]
[402, 1]
[1229, 0]
[403, 1]
[1221, 0]
[417, 1]
[387, 0]
[408, 1]
[376, 0]
[406, 1]
[1198, 0]
[442, 1]
[385, 0]
[405, 1]
[355, 0]
[433, 1]
[403, 0]
[402, 1]
[389, 0]
[404, 1]
[385, 0]
[416, 1]
[1216, 0]
[412, 1]
[1221, 0]
[417, 1]
[387, 0]
[405, 1]
[1233, 0]
[402, 1]
[1207, 0]
[429, 1]
[1229, 0]
[403, 1]
[386, 0]
[424, 1]
[361, 0]
[405, 1]
[1224, 0]
[405, 1]
[1221, 0]
[418, 1]
[1214, 0]
[409, 1]
[387, 0]
[417, 1]
[1221, 0]
[419, 1]
[386, 0]
[418, 1]
[1220, 0]
[403, 1]
[1221, 0]
[418, 1]
[372, 0]
[419, 1]
[408, 0]
[388, 1]
[388, 0]
[405, 1]
[1224, 0]
[413, 1]
[391, 0]
[405, 1]
[1236, 0]
[403, 1]
[390, 0]
[402, 1]
[387, 0]
[419, 1]
[388, 0]
[403, 1]
[374, 0]
[414, 1]
[392, 0]
[402, 1]
[388, 0]
[400, 1]
[369, 0]
[434, 1]
[372, 0]
[423, 1]
[1226, 0]
[403, 1]
[1222, 0]
[388, 1]
[1222, 0]
[424, 1]
[1216, 0]
[417, 1]
[1220, 0]
[405, 1]
[1217, 0]
[416, 1]
[1220, 0]
[418, 1]
[1207, 0]
[425, 1]
[376, 0]
[425, 1]
[372, 0]
[420, 1]
[355, 0]
[441, 1]
[387, 0]
[417, 1]
[386, 0]
[405, 1]
[386, 0]
[421, 1]
[388, 0]
[403, 1]
[388, 0]
[417, 1]
[1218, 0]
[404, 1]
[1229, 0]
[402, 1]
[1222, 0]
[416, 1]
[1205, 0]
[432, 1]
[1225, 0]
[406, 1]
[1209, 0]
[422, 1]
[1205, 0]
[458, 1]
[1201, 0]
[400, 1]
[386, 0]
[401, 1]
[403, 0]
[404, 1]
[373, 0]
[429, 1]
[389, 0]
[402, 1]
[388, 0]
[560, 1]
[235, 0]
[402, 1]
[387, 0]
[417, 1]
[388, 0]
[410, 1]
[1202, 0]
[433, 1]
[1232, 0]
[384, 1]
[1227, 0]
[403, 1]
[1216, 0]
[418, 1]
[1224, 0]
[402, 1]
[1232, 0]
[404, 1]
[1238, 0]
[416, 1]
[1218, 0]
[402, 1]
