[28714, 1]
[49213, 0]
[3201, 1]
[1427, 0]
[228, 1]
[1143, 0]
[275, 1]
[198, 0]
[305, 1]
[332, 0]
[308, 1]
[320, 0]
[93, 1]
[260, 0]
[254, 1]
[242, 0]
[269, 1]
[258, 0]
[291, 1]
[302, 0]
[194, 1]
[278, 0]
[317, 1]
[259, 0]
[226, 1]
[142, 0]
[260, 1]
[254, 0]
[240, 1]
[1096, 0]
[153, 1]
[294, 0]
[289, 1]
[259, 0]
[183, 1]
[259, 0]
[292, 1]
[271, 0]
[174, 1]
[168, 0]
[302, 1]
[302, 0]
[207, 1]
[286, 0]
[332, 1]
[211, 0]
[258, 1]
[227, 0]
[205, 1]
[276, 0]
[146, 1]
[269, 0]
[302, 1]
[173, 0]
[318, 1]
[236, 0]
[252, 1]
[312, 0]
[212, 1]
[330, 0]
[221, 1]
[181, 0]
[297, 1]
[248, 0]
[277, 1]
[816, 0]
[135, 1]
[302, 0]
[316, 1]
[1054, 0]
[124, 1]
[1076, 0]
[234, 1]
[1121, 0]
[116, 1]
[1067, 0]
[102, 1]
[1137, 0]
[227, 1]
[1057, 0]
[261, 1]
[272, 0]
[272, 1]
[1063, 0]
[187, 1]
[1102, 0]
[171, 1]
[1110, 0]
[175, 1]
[1138, 0]
[115, 1]
[1187, 0]
[140, 1]
[1128, 0]
[194, 1]
[1141, 0]
[215, 1]
[1158, 0]
[142, 1]
[1121, 0]
[161, 1]
[318, 0]
[240, 1]
[237, 0]
[281, 1]
[231, 0]
[305, 1]
[247, 0]
[270, 1]
[252, 0]
[238, 1]
[199, 0]
[282, 1]
[237, 0]
[286, 1]
[265, 0]
[253, 1]
[230, 0]
[278, 1]
[245, 0]
[238, 1]
[1157, 0]
[109, 1]
[1135, 0]
[232, 1]
[307, 0]
[216, 1]
[228, 0]
[286, 1]
[1199, 0]
[35, 1]
[1110, 0]
[142, 1]
[1105, 0]
[196, 1]
[1155, 0]
[114, 1]
[363, 0]
[144, 1]
[318, 0]
[156, 1]
[1109, 0]
[181, 1]
[1166, 0]
[164, 1]
[319, 0]
[274, 1]
[116, 0]
[264, 1]
[196, 0]
[260, 1]
[1132, 0]
[159, 1]
[319, 0]
[254, 1]
[254, 0]
[224, 1]
[943, 0]
[146, 1]
[317, 0]
[194, 1]
[316, 0]
[235, 1]
[1114, 0]
[95, 1]
[1119, 0]
[210, 1]
[227, 0]
[266, 1]
[1066, 0]
[213, 1]
[1161, 0]
[210, 1]
[320, 0]
[214, 1]
[1108, 0]
[69, 1]
[1078, 0]
[157, 1]
[301, 0]
[290, 1]
[1048, 0]
[119, 1]
[1151, 0]
[100, 1]
[316, 0]
[286, 1]
[181, 0]
[287, 1]
[1163, 0]
[145, 1]
[335, 0]
[254, 1]
[286, 0]
[247, 1]
[213, 0]
[230, 1]
[275, 0]
[171, 1]
[213, 0]
[185, 1]
[1103, 0]
[225, 1]
[1132, 0]
[104, 1]
[333, 0]
[246, 1]
[951, 0]
[160, 1]
[1154, 0]
[173, 1]
[1148, 0]
[145, 1]
[313, 0]
[238, 1]
[129, 0]
[237, 1]
[1119, 0]
[146, 1]
[1141, 0]
[145, 1]
[1162, 0]
[71, 1]
[265, 0]
[263, 1]
[1022, 0]
[254, 1]
[328, 0]
[204, 1]
[1084, 0]
[129, 1]
[1149, 0]
[172, 1]
[150, 0]
[215, 1]
[274, 0]
[287, 1]
[316, 0]
[240, 1]
[1151, 0]
[127, 1]
[251, 0]
[237, 1]
[1075, 0]
[104, 1]
[317, 0]
[234, 1]
[331, 0]
[264, 1]
[275, 0]
[236, 1]
[297, 0]
[150, 1]
[299, 0]
[116, 1]
[283, 0]
[213, 1]
[180, 0]
[180, 1]
[285, 0]
[242, 1]
[1130, 0]
[129, 1]
[1155, 0]
[172, 1]
[1015, 0]
[197, 1]
[1098, 0]
[74, 1]
[1127, 0]
[85, 1]
[1098, 0]
[180, 1]
[1149, 0]
[210, 1]
[1162, 0]
[115, 1]
[318, 0]
[238, 1]
[153, 0]
[176, 1]
[175, 0]
[191, 1]
[250, 0]
[98, 1]
[341, 0]
[264, 1]
[291, 0]
[260, 1]
[273, 0]
[259, 1]
[115, 0]
[252, 1]
[1074, 0]
[117, 1]
[1124, 0]
[39, 1]
[1126, 0]
[88, 1]
[1179, 0]
[149, 1]
[1145, 0]
[216, 1]
[1119, 0]
[101, 1]
[1179, 0]
[164, 1]
[1181, 0]
[127, 1]
[318, 0]
[257, 1]
[349, 0]
[197, 1]
[191, 0]
[242, 1]
[236, 0]
[207, 1]
[294, 0]
[134, 1]
[361, 0]
[172, 1]
[296, 0]
[252, 1]
[385, 0]
[273, 1]
[1233, 0]
[114, 1]
[1113, 0]
[143, 1]
[1219, 0]
[194, 1]
[1184, 0]
[202, 1]
[1151, 0]
[128, 1]
[1186, 0]
[210, 1]
[1083, 0]
[186, 1]
[1204, 0]
[98, 1]
[349, 0]
[208, 1]
[219, 0]
[174, 1]
[305, 0]
[259, 1]
[346, 0]
[223, 1]
[300, 0]
[226, 1]
[333, 0]
[214, 1]
[239, 0]
[188, 1]
[384, 0]
[97, 1]
[1168, 0]
[103, 1]
[1221, 0]
[52, 1]
[1192, 0]
[98, 1]
[1213, 0]
[92, 1]
[1080, 0]
[1317, 0]
[109, 1]
[1124, 0]
[1297, 0]
[118, 1]
[374, 0]
[195, 1]
[321, 0]
[191, 1]
[338, 0]
[69, 1]
[367, 0]
[135, 1]
[293, 0]
[162, 1]
[307, 0]
[62, 1]
[320, 0]
[128, 1]
[340, 0]
[165, 1]
[1101, 0]
[83, 1]
[1202, 0]
[25, 1]
[1217, 0]
[109, 1]
[1239, 0]
[91, 1]
[1227, 0]
[115, 1]
[1061, 0]
[96, 1]
[1219, 0]
[94, 1]
[1197, 0]
[82, 1]
[1214, 0]
[51, 1]
[1199, 0]
[174, 1]
[362, 0]
[163, 1]
[359, 0]
[108, 1]
[300, 0]
[238, 1]
[1066, 0]
[79, 1]
[478, 0]
[82, 1]
[392, 0]
[120, 1]
[355, 0]
[82, 1]
[285, 0]
[142, 1]
[1159, 0]
[79, 1]
[1202, 0]
[128, 1]
[1210, 0]
[82, 1]
[380, 0]
[205, 1]
[1209, 0]
[79, 1]
[1171, 0]
[128, 1]
[396, 0]
[195, 1]
[151, 0]
[197, 1]
[181, 0]
[137, 1]
[292, 0]
[202, 1]
[1218, 0]
[114, 1]
[1191, 0]
[103, 1]
[1225, 0]
[129, 1]
[1087, 0]
[97, 1]
[1209, 0]
[82, 1]
[1212, 0]
[115, 1]
[1080, 0]
[171, 1]
[1203, 0]
[97, 1]
[345, 0]
[187, 1]
[354, 0]
[485, 0]
[88, 1]
[393, 0]
[114, 1]
[382, 0]
[255, 1]
[400, 0]
[256, 1]
[272, 0]
[199, 1]
[398, 0]
[506, 0]
[47, 1]
[391, 0]
[93, 1]
[391, 0]
[148, 1]
[405, 0]
[143, 1]
[1257, 0]
[66, 1]
[1255, 0]
[1321, 0]
[92, 1]
[1221, 0]
[97, 1]
[1244, 0]
[67, 1]
[1239, 0]
[57, 1]
[1224, 0]
[113, 1]
[1245, 0]
[132, 1]
[402, 0]
[84, 1]
[302, 0]
[174, 1]
[436, 0]
[160, 1]
[320, 0]
[53, 1]
[272, 0]
[157, 1]
[289, 0]
[119, 1]
[376, 0]
[100, 1]
[399, 0]
[99, 1]
[1148, 0]
[32, 1]
[1247, 0]
[128, 1]
[1231, 0]
[113, 1]
[1221, 0]
[51, 1]
[1238, 0]
[51, 1]
[1254, 0]
[136, 1]
[1233, 0]
[37, 1]
[1265, 0]
[111, 1]
[256, 0]
[99, 1]
[385, 0]
[50, 1]
[434, 0]
[123, 1]
[426, 0]
[139, 1]
[387, 0]
[149, 1]
[425, 0]
[37, 1]
[415, 0]
[1407, 0]
[45, 1]
[1260, 0]
[20, 1]
[1254, 0]
[115, 1]
[1144, 0]
[1380, 0]
[81, 1]
[1252, 0]
[45, 1]
[1274, 0]
[51, 1]
[1282, 0]
[102, 1]
[425, 0]
[131, 1]
[1233, 0]
[1349, 0]
[66, 1]
[436, 0]
[129, 1]
[426, 0]
[114, 1]
[443, 0]
[532, 0]
[126, 1]
[411, 0]
[136, 1]
[438, 0]
[484, 0]
[77, 1]
[435, 0]
[36, 1]
[1306, 0]
[1398, 0]
[21, 1]
[1287, 0]
[81, 1]
[1293, 0]
[51, 1]
[1307, 0]
[20, 1]
[1215, 0]
[40, 1]
[1298, 0]
[35, 1]
[487, 0]
[52, 1]
[382, 0]
[575, 0]
[74, 1]
[57, 0]
[582, 0]
[30, 1]
[484, 0]
[66, 1]
[480, 0]
[49, 1]
[460, 0]
[1382, 0]
[1438, 0]
[1365, 0]
[1445, 0]
[1379, 0]
[18, 1]
